molwt	wlogmw
4.09E+02	0.00E+00
4.17E+02	0.00E+00
4.25E+02	0.00E+00
4.33E+02	0.00E+00
4.41E+02	0.00E+00
4.49E+02	0.00E+00
4.57E+02	0.00E+00
4.66E+02	0.00E+00
4.74E+02	0.00E+00
4.83E+02	1.10E-04
4.92E+02	1.54E-03
5.01E+02	3.67E-03
5.11E+02	6.10E-03
5.20E+02	8.82E-03
5.30E+02	1.19E-02
5.40E+02	1.53E-02
5.50E+02	1.88E-02
5.60E+02	2.23E-02
5.70E+02	2.59E-02
5.81E+02	2.96E-02
5.91E+02	3.34E-02
6.02E+02	3.74E-02
6.14E+02	4.14E-02
6.25E+02	4.57E-02
6.37E+02	5.01E-02
6.48E+02	5.45E-02
6.60E+02	5.92E-02
6.73E+02	6.41E-02
6.85E+02	6.94E-02
6.98E+02	7.50E-02
7.11E+02	8.09E-02
7.24E+02	8.71E-02
7.38E+02	9.38E-02
7.51E+02	1.01E-01
7.65E+02	1.08E-01
7.79E+02	1.16E-01
7.94E+02	1.24E-01
8.09E+02	1.32E-01
8.24E+02	1.40E-01
8.39E+02	1.49E-01
8.54E+02	1.58E-01
8.70E+02	1.67E-01
8.86E+02	1.77E-01
9.03E+02	1.86E-01
9.20E+02	1.96E-01
9.37E+02	2.06E-01
9.54E+02	2.15E-01
9.72E+02	2.25E-01
9.90E+02	2.35E-01
1.01E+03	2.45E-01
1.03E+03	2.55E-01
1.05E+03	2.64E-01
1.07E+03	2.73E-01
1.09E+03	2.83E-01
1.11E+03	2.91E-01
1.13E+03	3.00E-01
1.15E+03	3.08E-01
1.17E+03	3.16E-01
1.19E+03	3.24E-01
1.21E+03	3.31E-01
1.23E+03	3.38E-01
1.26E+03	3.45E-01
1.28E+03	3.52E-01
1.30E+03	3.58E-01
1.33E+03	3.65E-01
1.35E+03	3.71E-01
1.38E+03	3.77E-01
1.40E+03	3.83E-01
1.43E+03	3.89E-01
1.46E+03	3.95E-01
1.48E+03	4.01E-01
1.51E+03	4.07E-01
1.54E+03	4.13E-01
1.57E+03	4.20E-01
1.60E+03	4.26E-01
1.63E+03	4.33E-01
1.66E+03	4.40E-01
1.69E+03	4.48E-01
1.72E+03	4.55E-01
1.75E+03	4.63E-01
1.78E+03	4.71E-01
1.82E+03	4.79E-01
1.85E+03	4.88E-01
1.88E+03	4.97E-01
1.92E+03	5.06E-01
1.95E+03	5.15E-01
1.99E+03	5.25E-01
2.03E+03	5.35E-01
2.07E+03	5.45E-01
2.10E+03	5.55E-01
2.14E+03	5.65E-01
2.18E+03	5.75E-01
2.22E+03	5.85E-01
2.26E+03	5.95E-01
2.31E+03	6.05E-01
2.35E+03	6.15E-01
2.39E+03	6.25E-01
2.44E+03	6.35E-01
2.48E+03	6.45E-01
2.53E+03	6.54E-01
2.58E+03	6.63E-01
2.62E+03	6.72E-01
2.67E+03	6.80E-01
2.72E+03	6.88E-01
2.77E+03	6.96E-01
2.82E+03	7.04E-01
2.88E+03	7.11E-01
2.93E+03	7.18E-01
2.98E+03	7.24E-01
3.04E+03	7.30E-01
3.10E+03	7.36E-01
3.15E+03	7.41E-01
3.21E+03	7.46E-01
3.27E+03	7.51E-01
3.33E+03	7.55E-01
3.39E+03	7.59E-01
3.46E+03	7.62E-01
3.52E+03	7.65E-01
3.59E+03	7.68E-01
3.65E+03	7.71E-01
3.72E+03	7.73E-01
3.79E+03	7.75E-01
3.86E+03	7.77E-01
3.93E+03	7.78E-01
4.00E+03	7.79E-01
4.08E+03	7.80E-01
4.15E+03	7.81E-01
4.23E+03	7.81E-01
4.31E+03	7.82E-01
