# Average monomer weight: 200
# Computed avg degree of polymerization 18.7
# All outputs are in units of monomer wt units
# Simulated/Experimental Mn: 3740, 3919.73
# Simulated/Experimental Mw: 14128.7, 14517.4
# Simulated/Experimental Mz: 29300, 63143.4
molwt	pMW	cMW	wMW	wlogMW
409	0	-0	0	0
417	0	0	0	0
425	0	0	0	0
433	0	0	0	0
441	0	0	0	0
449	0	0	0	0
457	0	0	0	0
466	0	0	0	0
474	0	0	0	0
483	4.71518e-10	0	2.27743e-07	0.00011
492	6.36195e-09	3.61246e-06	3.13008e-06	0.00154
501	1.46215e-08	5.5966e-05	7.32535e-06	0.00367
511	2.33608e-08	0.000216727	1.19374e-05	0.0061
520	3.26183e-08	0.000540055	1.69615e-05	0.00882
530	4.23638e-08	0.00096893	2.24528e-05	0.0119
540	5.24691e-08	0.00160722	2.83333e-05	0.0153
550	6.21488e-08	0.0024145	3.41818e-05	0.0188
560	7.11097e-08	0.00339019	3.98214e-05	0.0223
570	7.97168e-08	0.00452457	4.54386e-05	0.0259
581	8.76879e-08	0.00580849	5.09466e-05	0.0296
591	9.5625e-08	0.00737605	5.65144e-05	0.0334
602	1.032e-07	0.00893651	6.21262e-05	0.0374
614	1.09815e-07	0.0107983	6.74267e-05	0.0414
625	1.16992e-07	0.0129743	7.312e-05	0.0457
637	1.23469e-07	0.015098	7.86499e-05	0.0501
648	1.29792e-07	0.0175544	8.41049e-05	0.0545
660	1.35904e-07	0.0199259	8.9697e-05	0.0592
673	1.41523e-07	0.02264	9.52452e-05	0.0641
685	1.47903e-07	0.0257101	0.000101314	0.0694
698	1.5394e-07	0.0286666	0.00010745	0.075
711	1.60033e-07	0.032007	0.000113783	0.0809
724	1.66166e-07	0.0354815	0.000120304	0.0871
738	1.72223e-07	0.0390913	0.0001271	0.0938
751	1.79078e-07	0.0431241	0.000134487	0.101
765	1.84544e-07	0.0470117	0.000141176	0.108
779	1.91154e-07	0.0513452	0.000148909	0.116
794	1.96689e-07	0.0558227	0.000156171	0.124
809	2.01687e-07	0.060775	0.000163164	0.132
824	2.06193e-07	0.0658618	0.000169903	0.14
839	2.11671e-07	0.07107	0.000177592	0.149
854	2.16641e-07	0.0764057	0.000185012	0.158
870	2.20637e-07	0.0818747	0.000191954	0.167
886	2.25479e-07	0.0878305	0.000199774	0.177
903	2.28106e-07	0.0939067	0.00020598	0.186
920	2.31569e-07	0.100471	0.000213043	0.196
937	2.34632e-07	0.107123	0.000219851	0.206
954	2.36234e-07	0.113869	0.000225367	0.215
